Sheep_ID,Group,RPM_T1,RPM_T2,RPM_T3,RPM_T4,RPM_T5,RPM_T6,RPM_T7,RPM_T8,RPM_T9,RPM_T10,RPM_T11,RPM_T12,RPM_T13,RPM_T14,RPM_T15,RPM_T16,RPM_T17,RPM_T18,RPM_T19,RPM_T20,RPM_T21,RPM_T22,RPM_T23,FLOW_T1,FLOW_T2,FLOW_T3,FLOW_T4,FLOW_T5,FLOW_T6,FLOW_T7,FLOW_T8,FLOW_T9,FLOW_T10,FLOW_T11,FLOW_T12,FLOW_T13,FLOW_T14,FLOW_T15,FLOW_T16,FLOW_T17,FLOW_T18,FLOW_T19,FLOW_T20,FLOW_T21,FLOW_T22,FLOW_T23,SWEEP_T1,SWEEP_T2,SWEEP_T3,SWEEP_T4,SWEEP_T5,SWEEP_T6,SWEEP_T7,SWEEP_T8,SWEEP_T9,SWEEP_T10,SWEEP_T11,SWEEP_T12,SWEEP_T13,SWEEP_T14,SWEEP_T15,SWEEP_T16,SWEEP_T17,SWEEP_T18,SWEEP_T19,SWEEP_T20,SWEEP_T21,SWEEP_T22,SWEEP_T23,PRESGRAD_T2,PRESGRAD_T3,PRESGRAD_T4,PRESGRAD_T5,PRESGRAD_T6,PRESGRAD_T7,PRESGRAD_T8,PRESGRAD_T9,PRESGRAD_T10,PRESGRAD_T11,PRESGRAD_T12,PRESGRAD_T13,PRESGRAD_T14,PRESGRAD_T15,PRESGRAD_T16,PRESGRAD_T17,PRESGRAD_T18,PRESGRAD_T19,PRESGRAD_T20,PRESGRAD_T21,PRESGRAD_T22,PRESGRAD_T23,RPMFLOWRATIO_T1,RPMFLOWRATIO_T2,RPMFLOWRATIO_T3,RPMFLOWRATIO_T4,RPMFLOWRATIO_T5,RPMFLOWRATIO_T6,RPMFLOWRATIO_T7,RPMFLOWRATIO_T8,RPMFLOWRATIO_T9,RPMFLOWRATIO_T10,RPMFLOWRATIO_T11,RPMFLOWRATIO_T12,RPMFLOWRATIO_T13,RPMFLOWRATIO_T14,RPMFLOWRATIO_T15,RPMFLOWRATIO_T16,RPMFLOWRATIO_T17,RPMFLOWRATIO_T18,RPMFLOWRATIO_T19,RPMFLOWRATIO_T20,RPMFLOWRATIO_T21,RPMFLOWRATIO_T22,RPMFLOWRATIO_T23,RPMFLOWRATIO_DT2T23
23,Control,3400,2600,3165,3165,3165,4860,4360,4660,4665,4665,4360,4360,4360,4363,4360,4361,4665,4665,4400,4400,4720,4720,4720,2.52,2.06,2.5,2.5,2.5,3.5,3.5,3.73,3.75,3.75,3.1,3.55,3.53,3.55,3.53,3.54,3.75,3.75,3.5,3.51,3.8,3.75,3.76,3,1,1.5,1.5,1.5,3.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,3.5,3.5,3.5,3.5,3,3,4,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1349,1262,1266,1266,1266,1389,1246,1249,1244,1244,1406,1228,1235,1229,1235,1232,1244,1244,1257,1254,1242,1259,1255,-93.88720027
24,Control,3800,3720,3825,4180,4100,3480,2985,2975,2945,2945,2935,2895,2895,2895,2870,3160,2860,2868,2866,2867,3160,3160,3160,3,3,2.96,2.5,3.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.75,2.5,2.5,2.5,2.5,2.75,2.75,2.65,3,2,2.75,2,2,2,2,2,3,2.5,2,2,3,3,3,3,3,4,4,3.5,5,4,4,13,14,12,18,14,11,13,12,20,16,13,14,13,10,14,12,29,29,31,37,30,25,1267,1240,1292,1672,1171,1392,1194,1190,1178,1178,1174,1158,1158,1158,1148,1149,1144,1147,1146,1147,1149,1149,1192,-74.21383648
25,Control,3290,3290,4300,3915,3905,3255,3255,2775,2775,2775,2775,2840,3675,2890,2890,2890,2890,2890,2890,2890,2881,2881,2881,2.9,3,3.5,3.75,3.75,2.5,2.95,2.5,2.5,2.5,2.45,2.5,2.75,2.5,2.5,2.5,2.45,2.5,2.5,2.5,2.55,2.6,2.6,2,2,3,2,2,2,2,2,2,2.5,2.5,3,3,3,4.5,4.5,3.5,2.5,2.5,4,3,3,3,6,5,11,9,10,9,0,0,0,0,11,9,9,9,9,9,9,10,9,9,9,8,1134,1097,1229,1044,1041,1302,1103,1110,1110,1110,1133,1136,1336,1156,1156,1156,1180,1156,1156,1156,1130,1108,1108,-26.40583554
26,Control,3560,3090,3250,3350,3790,3790,3790,3790,3790,3790,3790,3750,3790,3790,3790,3790,3790,3790,3790,3790,4005,4005,4005,2.9,2.5,2.75,2.6,2.6,3.25,3.25,3.25,3.25,3.25,3.25,3.25,3.25,3.25,3.25,3.3,3.3,3.3,3.3,3.25,3.5,3.5,3.5,3,2.5,3.5,2.5,3.5,3.5,3.5,3.5,3.25,3.25,3.25,3.25,3.25,3.25,3.25,3.25,3.25,3.25,3.25,5.5,4,4,4,18,23,18,22,20,21,21,19,24,23,24,21,23,20,21,20,20,21,25,21,21,21,1228,1236,1182,1288,1458,1166,1166,1166,1166,1166,1166,1154,1166,1166,1166,1148,1148,1148,1148,1166,1144,1144,1144,-83.30049261
27,Control,3950,4031,4025,4025,4025,4025,4025,4025,4025,4025,4025,4025,4025,4150,4075,4075,4075,4075,4075,4075,NA,NA,4075,2.75,2.75,2.65,2.7,2.43,2.67,2.65,2.7,2.75,2.75,2.75,2.75,2.8,2.75,2.75,2.75,2.75,2.75,2.75,2.75,NA,NA,2.75,2.5,2.5,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,3,5.5,5.5,5,6,6,6,6,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1436,1466,1519,1491,1656,1507,1519,1491,1464,1464,1464,1464,1438,1509,1482,1482,1482,1482,1482,1482,NA,NA,1248,-188.3636364
35,Control,4045,3750,3975,3590,3590,3590,3590,3670,3670,3670,3670,3670,3670,3670,3670,3670,3670,3670,3670,3670,3670,3280,3280,2.95,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.45,2.5,2.6,2.75,2.65,2.5,2.5,2,2,2,3,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,6,6,7,10,9,3,20,43,11,6,6,5,3,7,8,3,3,12,8,5,5,3,1371,1500,1590,1436,1436,1436,1436,1468,1468,1468,1468,1468,1468,1468,1468,1468,1468,1468,1498,1468,1412,1193,1238,-133.4505916
36,Control,2805,2790,2790,2790,2535,3175,3175,3485,3485,3485,3485,3485,3485,3485,3485,3485,3485,3435,3230,3230,3230,3230,3230,2.5,2.5,2.5,2.5,2.5,3,3,4,4,3.5,3.5,3.15,3.15,3.15,3.15,3.15,3.3,3.3,3.25,3,3,3,3,2,2,2,2,2,4,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,16,12,6,9,29,31,25,46,55,21,61,50,50,55,59,25,57,56,49,49,47,45,1122,1116,1116,1116,1014,1058,1058,871,871,996,996,1106,1106,1106,1106,1106,1056,1041,994,1077,1077,1077,1077,-45.33333333
28,Intervention,3245,3905,3245,3720,3440,3395,3395,3390,3395,3360,3860,3955,3955,3955,3955,3955,3875,3870,3870,3980,3825,3825,4120,2.5,3.25,2.5,3,2.72,2.75,2.75,2.75,2.75,2.75,3,3.25,3.25,3.25,3.25,3.25,3.25,3.3,3.35,3.25,3.25,3.25,3.5,4,4,3,3,4,3,3,3,3,3,3,3,3,4,4,3.5,2.5,2.5,2.5,2.5,4,4,3.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1298,1202,1298,1240,1265,1235,1235,1233,1235,1222,1287,1217,1217,1217,1217,1217,1192,1173,1155,1225,1177,1177,1177,-120.8571429
29,Intervention,3515,3515,3515,3490,3490,4220,4220,4220,4220,4220,4220,4220,3955,3635,3635,3635,3635,3635,3720,3720,3720,3720,3720,2.5,2.5,2.75,2.75,3,3,3,3,3,3,3,3,3.25,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,3,3,3,2.5,2,2,2,2,2,4,3.5,3.5,3.5,3,3,3,3,3,4,4,4,4,4,14,13,12,17,19,16,16,18,18,18,19,20,21,16,16,16,19,18,20,10,22,22,1406,1406,1278,1269,1163,1407,1407,1407,1407,1407,1407,1407,1217,1454,1454,1454,1454,1454,1488,1488,1488,1488,1488,82
30,Intervention,3385,3445,3095,2995,3475,3770,3760,3760,3760,3760,3760,3760,3760,3760,3760,3760,3760,3760,3760,4095,4095,4095,3830,2.5,2.5,2.5,2.5,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,3,3,3,2.75,3,2,2,2,3,2.5,2.5,2.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3,4,4,4,17,20,10,31,67,72,61,69,71,70,70,70,70,76,78,87,90,98,120,127,133,134,1354,1378,1238,1198,1264,1371,1367,1367,1367,1367,1367,1367,1367,1367,1367,1367,1367,1367,1367,1365,1365,1365,1393,38.72727273
31,Intervention,3150,3150,3590,3595,3605,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3400,3400,3400,3400,3400,2.5,2.5,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3.25,3.25,3.25,3,3,3,3,4,11,10,10,2,27,10,10,10,10,10,10,13,14,8,20,19,17,18,22,18,19,26,1260,1260,1197,1198,1202,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1133,850,1133,1133,1133,-126.6666667
32,Intervention,3555,3015,3077,3077,2990,3310,3630,3630,3630,3630,3630,3630,3630,3630,3630,3630,3630,3840,3840,3840,3840,3840,3840,2.5,2,2,2,2,2.25,2.5,2.45,2.45,2.5,2.5,2.5,2.5,2.5,2.5,2.45,2.4,2.6,2.6,2.6,2.55,2.55,2.5,1.5,1.5,1.5,1.5,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,4,4,4,6,2,6,8,10,18,29,25,25,5,13,12,11,13,13,13,14,43,56,54,58,58,1422,1508,1539,1539,1495,1471,1452,1482,1482,1452,1452,1452,1452,1452,1452,1482,1513,1477,1477,1477,1506,1506,1536,114
33,Intervention,2610,2610,2610,3280,3870,4015,4015,4015,4015,4015,4015,4015,4015,4015,4015,4015,4015,4015,4015,4015,4015,4015,4015,2,2,2,2,2.5,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.45,3.4,3.45,3.45,3.45,3.45,3.45,3.45,3.45,3.5,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,6,6,7,8,22,25,22,22,20,22,21,17,21,16,15,14,13,14,16,18,17,24,1305,1305,1305,1640,1548,1181,1181,1181,1181,1181,1181,1181,1181,1164,1181,1164,1164,1164,1164,1164,1164,1164,1147,-157.8571429
34,Intervention,3290,3290,2785,2785,3010,3010,3575,3575,3575,3575,3895,3895,3895,3895,3895,3975,3975,3325,3760,3760,3880,3880,3880,2.5,2.5,2,2,2.25,2.25,2.75,2.75,2.75,2.8,3,3,3,3,3,3,3,3.15,3.5,3.55,3.6,3.65,2.6,3,3,2,3,3,3,3,2.5,3,3,3,3,3,3.5,3.5,4,4,4,4.5,4.5,4,4,4,7,31,9,37,30,15,40,32,31,26,54,26,32,27,25,26,36,79,76,74,82,86,1316,1316,1393,1393,1338,1338,1300,1300,1300,1277,1298,1298,1298,1298,1298,1325,1325,1056,1074,1059,1078,1063,1492,176.3076923
