Sheep ID,Group,LLL_WD,RLL_WD,LUL_WD,RUL_WD
23,Control,10.353,9.347,8.827,7.707
24,Control,9.409,12.017,8.891,7.671
25,Control,9.245,9.482,9.935,10.000
26,Control,10.522,11.313,8.331,6.720
27,Control,7.577,8.000,6.962,8.149
28,Intervention,8.510,7.944,8.542,6.854
29,Intervention,9.486,10.168,9.670,7.373
30,Intervention,9.434,8.494,12.410,11.422
31,Intervention,9.996,9.443,9.957,11.426
32,Intervention,9.821014493,10.30952381,9.119164619,7.93559322
33,Intervention,11.35020243,10.25325444,8.447166922,9.395136778
34,Intervention,7.101086957,6.015719468,7.783919598,8.06741573
35,Control,8.251445087,7.108695652,7.633064516,7.3046875
36,Control,7.286821705,7.177304965,8.635170604,8.912587413
